"repo","star","watch"
"moodle/moodle","ok","ok"
"openedx/edx-platform","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/10391073/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"instructure/canvas-lms","ok","ok"
"education/classroom","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/35079964/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"jupyter/nbgrader","ok","ok"
"prairieLearn/PrairieLearn","ok","ok"
"executablebooks/jupyter-book","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/137292803/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"quarto-dev/quarto-cli","ok","ok"
"academicpages/academicpages.github.io","ok","ok"
"alshedivat/al-folio","ok","ok"
"sproogen/modern-resume-theme","ok","ok"
"pages-themes/minimal","ok","ok"
"resume/resume.github.com","ok","ok"
"jsonresume/resume-cli","ok","ok"
"gethomepage/homepage","ok","ok"
"OWASP/CheatSheetSeries","ok","ok"
"zaproxy/zaproxy","ok","ok"
"semgrep/semgrep","ok","ok"
"aquasecurity/trivy","ok","ok"
"gitleaks/gitleaks","ok","ok"
"github/codeql","ok","ok"
"crytic/slither","ok","ok"
"Consensys/mythril","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/103890505/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"crytic/echidna","ok","ok"
"google/osv-scanner","ok","ok"
"anchore/grype","ok","ok"
"ossf/scorecard","ok","ok"
"zulip/zulip","ok","ok"
"discourse/discourse","ok","ok"
"calcom/cal.com","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/350360184/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"open-webui/open-webui","ok","ok"
"n8n-io/n8n","ok","ok"
"docmost/docmost","ok","ok"
"outline/outline","ok","ok"
"formbricks/formbricks","ok","ok"
"plausible/analytics","ok","ok"
"posthog/posthog","ok","ok"
"nocodb/nocodb","ok","ok"
"teableio/teable","ok","ok"
"usebruno/bruno","ok","ok"
"hoppscotch/hoppscotch","ok","ok"
"twentyhq/twenty","ok","ok"
"supabase/supabase","ok","ok"
"RocketChat/Rocket.Chat","ok","ok"
"mattermost/mattermost","ok","ok"
"goharbor/harbor","ok","ok"
"backstage/backstage","ok","ok"
"datahub-project/datahub","ok","ok"
"open-metadata/OpenMetadata","ok","ok"
"apache/atlas","ok","ok"
"OpenLineage/OpenLineage","ok","ok"
"MarquezProject/marquez","ok","ok"
