"repo","star","watch"
"stackblitz-labs/bolt.diy","ok","ok"
"dyad-sh/dyad","ok","ok"
"AntonOsika/gpt-engineer","ok","ok"
"scaffold-eth/scaffold-eth-2","ok","ok"
"BuilderIO/gpt-crawler","ok","ok"
"presenton/presenton","ok","ok"
"slidevjs/slidev","ok","ok"
"marp-team/marp","ok","ok"
"hakimel/reveal.js","ok","ok"
"gitbrent/PptxGenJS","ok","ok"
"mautic/mautic","ok","ok"
"TryGhost/Ghost","ok","ok"
"strapi/strapi","ok","ok"
"directus/directus","ok","ok"
"digitalbazaar/vc","ok","ok"
"credebl/platform","ok","ok"
"w3c/vc-data-model","ok","ok"
"decentralized-identity/universal-resolver","ok","ok"
"openwallet-foundation/identity-credential","gh: Not Found (HTTP 404) {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/activity/starring#star-a-repository-for-the-authenticated-user"",""status"":""404""}","gh: Not Found (HTTP 404) gh: This API operation needs the ""notifications"" scope. To request it, run:  gh auth refresh -h github.com -s notifications {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/activity/watching#set-a-repository-subscription"",""status"":""404""}"
"moodle/moodle","ok","ok"
"openedx/edx-platform","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/10391073/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"instructure/canvas-lms","ok","ok"
"executablebooks/jupyter-book","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/137292803/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"quarto-dev/quarto-cli","ok","ok"
"ollama/ollama","ok","ok"
"open-webui/open-webui","ok","ok"
"langchain-ai/langchain","ok","ok"
"run-llama/llama_index","ok","ok"
"qdrant/qdrant","ok","ok"
"weaviate/weaviate","ok","ok"
"chroma-core/chroma","ok","ok"
"Unstructured-IO/unstructured","ok","ok"
"docling-project/docling","ok","ok"
"penpot/penpot","ok","ok"
"comfyanonymous/ComfyUI","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/589831718/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"AIDC-AI/ComfyUI-Copilot","ok","ok"
"AUTOMATIC1111/stable-diffusion-webui","ok","ok"
"ImageMagick/ImageMagick","ok","ok"
"openai/whisper","ok","ok"
"SYSTRAN/faster-whisper","ok","ok"
"m1guelpf/auto-subtitle","ok","ok"
"SubtitleEdit/subtitleedit","ok","ok"
"mutonby/openshorts","ok","ok"
"Shaarav4795/ClippedAI","ok","ok"
"WeblateOrg/weblate","ok","ok"
"translate/translate","ok","ok"
"argosopentech/argos-translate","ok","ok"
"LibreTranslate/LibreTranslate","ok","ok"
"mozilla/pontoon","ok","ok"
"n8n-io/n8n","ok","ok"
"windmill-labs/windmill","ok","ok"
"All-Hands-AI/OpenHands","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/771302083/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"Aider-AI/aider","ok","ok"
"continuedev/continue","ok","ok"
"RooVetGit/Roo-Code","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/881506708/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"jupyter/nbgrader","ok","ok"
"education/classroom","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/35079964/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"prairieLearn/PrairieLearn","ok","ok"
"openedx/problem-builder","gh: Not Found (HTTP 404) {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/activity/starring#star-a-repository-for-the-authenticated-user"",""status"":""404""}","gh: Not Found (HTTP 404) gh: This API operation needs the ""notifications"" scope. To request it, run:  gh auth refresh -h github.com -s notifications {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/activity/watching#set-a-repository-subscription"",""status"":""404""}"
"microsoft/vscode-extension-samples","ok","ok"
"knadh/listmonk","ok","ok"
