"repo","star","watch"
"bitcoin/bitcoin","ok","ok"
"lightningnetwork/lnd","ok","ok"
"ethereum/go-ethereum","ok","ok"
"argotorg/solidity","ok","ok"
"foundry-rs/foundry","ok","ok"
"NomicFoundation/hardhat","ok","ok"
"OpenZeppelin/openzeppelin-contracts","ok","ok"
"scaffold-eth/scaffold-eth-2","ok","ok"
"smartcontractkit/chainlink","ok","ok"
"graphprotocol/graph-node","ok","ok"
"safe-global/safe-smart-account","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/102186072/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"safe-global/safe-wallet-web","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/481196344/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"snapshot-labs/snapshot","ok","Put ""https://api.github.com/repos/snapshot-labs/snapshot/subscription"": net/http: TLS handshake timeout"
"aragon/osx","ok","ok"
"TokenySolutions/T-REX","ok","ok"
"ethereum/ERCs","ok","ok"
"ethereum/EIPs","ok","ok"
"Uniswap/v4-core","ok","ok"
"aave/aave-v3-core","ok","ok"
"cosmos/cosmos-sdk","ok","Put ""https://api.github.com/repos/cosmos/cosmos-sdk/subscription"": net/http: TLS handshake timeout"
"cometbft/cometbft","ok","ok"
"CosmWasm/cosmwasm","ok","ok"
"CosmWasm/cw-plus","ok","ok"
"paritytech/polkadot-sdk","ok","ok"
"coral-xyz/anchor","ok","Put ""https://api.github.com/repos/coral-xyz/anchor/subscription"": net/http: TLS handshake timeout"
"solana-labs/solana","ok","ok"
"anza-xyz/agave","ok","ok"
"aptos-labs/aptos-core","ok","ok"
"MystenLabs/sui","ok","ok"
"hyperledger/fabric","ok","ok"
"hyperledger/besu","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/206414745/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"ethereum-optimism/optimism","ok","ok"
"OffchainLabs/nitro","ok","ok"
"matter-labs/zksync-era","ok","ok"
"zcash/librustzcash","ok","ok"
"penumbra-zone/penumbra","ok","ok"
"WalletConnect/walletconnect-monorepo","ok","ok"
"rainbow-me/rainbowkit","ok","ok"
