"repo","star","watch"
"DSpace/DSpace","ok","ok"
"DSpace/dspace-angular","ok","ok"
"Koha-Community/Koha","ok","ok"
"omeka/omeka-s","ok","ok"
"inveniosoftware/invenio-app-rdm","ok","ok"
"IQSS/dataverse","ok","ok"
"janeczku/calibre-web","ok","ok"
"Kareadita/Kavita","ok","ok"
"advplyr/audiobookshelf","ok","ok"
"zotero/zotero","ok","ok"
"vufind-org/vufind","ok","ok"
"bookstackapp/bookstack","ok","ok"
"requarks/wiki","ok","ok"
"gotson/komga","ok","ok"
"calibrain/shelfmark","ok","ok"
"internetarchive/openlibrary","ok","ok"
