"repo","star","watch"
"FreeCAD/FreeCAD","ok","ok"
"openscad/openscad","ok","ok"
"Ultimaker/Cura","ok","ok"
"prusa3d/PrusaSlicer","ok","ok"
"mtconnect/cppagent","ok","ok"
"OPCFoundation/UA-.NETStandard","ok","ok"
"open62541/open62541","ok","ok"
"eclipse/milo","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/58208693/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"Open-Cascade-SAS/OCCT","ok","ok"
"LinuxCNC/linuxcnc","ok","ok"
