"repo","star","watch"
"quarto-dev/quarto-cli","ok","ok"
"pandoc/pandoc","ok","ok"
"jupyter-book/jupyter-book","ok","ok"
"executablebooks/MyST-Parser","ok","ok"
"executablebooks/sphinx-book-theme","ok","ok"
"manubot/rootstock","ok","ok"
"manubot/manubot","ok","ok"
"rstudio/bookdown","ok","ok"
"rust-lang/mdBook","ok","ok"
"honkit/honkit","ok","ok"
"Sigil-Ebook/Sigil","ok","ok"
"pressbooks/pressbooks","ok","ok"
"booktype/Booktype","ok","ok"
"pubpub/pubpub","ok","ok"
"pkp/ojs","ok","ok"
"pkp/omp","ok","ok"
"pkp/ops","ok","ok"
"fiduswriter/fiduswriter","ok","ok"
"overleaf/overleaf","ok","ok"
"hedgedoc/hedgedoc","ok","ok"
"ether/etherpad-lite","ok","ok"
"coko-org/kotahi","ok","ok"
"coko-org/editoria","ok","ok"
"coko-org/pagedjs","ok","ok"
"typst/typst","ok","ok"
"slidevjs/slidev","ok","ok"
"marp-team/marp","ok","ok"
