"repo","star","watch"
"mediacms-io/mediacms","ok","ok"
"Chocobozzz/PeerTube","ok","ok"
"owncast/owncast","ok","ok"
"jellyfin/jellyfin","ok","ok"
"jellyfin/jellyfin-web","ok","ok"
"bigbluebutton/bigbluebutton","ok","ok"
"jitsi/jitsi-meet","ok","ok"
"openvidu/openvidu","ok","ok"
"ant-media/Ant-Media-Server","ok","ok"
"AirenSoft/OvenMediaEngine","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/139194755/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"AirenSoft/OvenPlayer","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/139151128/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"R0GGER/mistserver","ok","ok"
"obsproject/obs-studio","ok","ok"
"videojs/video.js","ok","ok"
"video-dev/hls.js","ok","ok"
"shaka-project/shaka-player","ok","ok"
"FFmpeg/FFmpeg","ok","ok"
"GStreamer/gstreamer","ok","ok"
"gpac/gpac","ok","ok"
"axiomatic-systems/Bento4","ok","ok"
"yt-dlp/yt-dlp","ok","ok"
"streamlink/streamlink","ok","ok"
"iv-org/invidious","ok","ok"
"FreeTubeApp/FreeTube","ok","ok"
"AzuraCast/AzuraCast","ok","ok"
"MediaArea/MediaInfo","ok","ok"
"ossrs/srs","ok","ok"
"bluenviron/mediamtx","ok","ok"
"ad-aures/castopod","ok","ok"
"funkwhale/funkwhale","not on GitHub; official source requires verification","not on GitHub; official source requires verification"
