"repo","star","watch"
"materialsproject/pymatgen","ok","ok"
"materialsproject/api","ok","ok"
"materialsproject/atomate2","ok","ok"
"materialsproject/custodian","ok","ok"
"materialsproject/fireworks","ok","ok"
"hackingmaterials/matminer","ok","ok"
"materialsvirtuallab/matgenb","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/83753201/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"nomad-coe/nomad","ok","gh: HTTP 307 {""message"":""Moved Permanently"",""url"":""https://api.github.com/repositories/339992217/subscription"",""documentation_url"":""https://docs.github.com/rest/guides/best-practices-for-using-the-rest-api#follow-redirects""}"
"aiidateam/aiida-core","ok","ok"
"lammps/lammps","ok","ok"
"deepmodeling/deepmd-kit","ok","ok"
"google-deepmind/materials_discovery","ok","ok"
