"repo","star","watch"
"webstudio-is/webstudio","ok","ok"
"GrapesJS/grapesjs","ok","ok"
"puckeditor/puck","ok","ok"
"plasmicapp/plasmic","ok","ok"
"silexlabs/Silex","ok","ok"
"withastro/astro","ok","ok"
"withastro/starlight","ok","ok"
"gohugoio/hugo","ok","ok"
"facebook/docusaurus","ok","ok"
"vuejs/vitepress","ok","ok"
"11ty/eleventy","ok","ok"
"vercel/next.js","ok","ok"
"gatsbyjs/gatsby","ok","ok"
"startbootstrap/startbootstrap","ok","ok"
"themesberg/flowbite","ok","ok"
"saadeghi/daisyui","ok","ok"
"tailwindlabs/tailwindcss","ok","ok"
"shadcn-ui/ui","ok","ok"
"WordPress/wordpress-develop","ok","ok"
"TryGhost/Ghost","ok","ok"
"strapi/strapi","ok","ok"
"directus/directus","ok","ok"
"decaporg/decap-cms","ok","ok"
"tinacms/tinacms","ok","ok"
"payloadcms/payload","ok","ok"
"coollabsio/coolify","ok","ok"
"Dokploy/dokploy","ok","ok"
"caprover/caprover","ok","ok"
"dokku/dokku","ok","ok"
"portainer/portainer","ok","ok"
"caddyserver/caddy","ok","ok"
"traefik/traefik","ok","ok"
"slidevjs/slidev","ok","ok"
"hakimel/reveal.js","ok","ok"
"marp-team/marp","ok","ok"
"typst/typst","ok","ok"
"pagedjs/pagedjs","ok","ok"
"penpot/penpot","ok","ok"
"listmonk/listmonk","ok","ok"
"mautic/mautic","ok","ok"
